,Q55,Q58,Q61,Q64,Q67,Q81,Q82,Q84,Q92,Q98,Q99,Q101,Q119,Q121,Q122,Q123,Q124,Q125,Q128
0,"('care', 6)","('activities', 10)","('appointments', 11)","('activities', 5)","('child', 14)","('children', 6)","('care', 4)","('coffee', 10)","('anxiety', 33)","('children', 36)","('cancer', 20)","('board', 20)","('able', 9)","('days', 9)","('bed', 36)","('bed', 17)","('care', 16)","('bed', 10)","('assistance', 92)"
1,"('family', 4)","('date', 8)","('care', 16)","('couldn', 4)","('dates', 8)","('church', 7)","('daughter', 6)","('exercise', 34)","('depression', 20)","('children husband', 8)","('child', 14)","('board games', 18)","('bills', 12)","('exhausting', 18)","('family', 19)","('brother', 8)","('child', 12)","('better', 25)","('daily', 74)"
2,"('home', 6)","('events', 8)","('cleaning', 9)","('daughter', 3)","('intimacy', 7)","('close', 13)","('didn', 7)","('friends', 37)","('don', 12)","('daughter', 11)","('children', 12)","('camping', 16)","('care', 11)","('hard', 11)","('food', 23)","('family', 19)","('doctors', 9)","('food', 28)","('daily living', 74)"
3,"('house', 5)","('family', 20)","('groceries', 10)","('homework', 4)","('just', 11)","('close friends', 11)","('lot', 5)","('lunch', 20)","('health', 12)","('family', 54)","('daughter', 13)","('games', 47)","('family', 13)","('home', 11)","('having', 8)","('food', 8)","('help', 8)","('hospital', 8)","('errands', 74)"
4,"('housework', 6)","('friends', 46)","('grocery', 23)","('hospital', 9)","('kids', 8)","('family', 37)","('personal', 4)","('movies', 9)","('lot', 11)","('family friends', 16)","('family', 19)","('going', 13)","('home', 8)","('hospital', 26)","('home', 11)","('friends', 22)","('hospital', 8)","('let', 8)","('errands meals', 74)"
5,"('paperwork', 6)","('going', 13)","('grocery shopping', 18)","('kids', 4)","('personal', 7)","('friend', 9)","('personal time', 4)","('read', 48)","('ptsd', 11)","('friends', 29)","('finances', 14)","('hiking', 14)","('income', 8)","('room', 9)","('kids', 10)","('home', 14)","('life', 8)","('parents', 11)","('help', 145)"
6,"('self', 5)","('just', 8)","('personal', 12)","('parents', 3)","('sex', 8)","('friends', 63)","('really', 5)","('reading', 8)","('sleep', 17)","('god', 9)","('health', 31)","('movies', 36)","('medical', 8)","('sleep', 10)","('pets', 10)","('pets', 8)","('medical', 9)","('people', 9)","('house yard', 74)"
7,"('time', 8)","('school', 10)","('self', 11)","('school', 10)","('talking', 9)","('friends family', 7)","('son', 7)","('spa', 8)","('stress', 14)","('husband', 29)","('money', 29)","('park', 12)","('money', 17)","('stayed', 8)","('privacy', 15)","('room', 9)","('nurses', 59)","('room', 8)","('living', 74)"
8,"('work', 13)","('social', 16)","('self care', 10)","('stay', 4)","('time', 56)","('kids', 6)","('time', 24)","('time', 14)","('time', 30)","('kids', 32)","('son', 21)","('play', 22)","('time', 11)","('stressful', 24)","('sleep', 11)","('sleeping', 8)","('nurses nurses', 8)","('sleeping', 7)","('support', 113)"
9,"('worked', 5)","('time', 27)","('shopping', 35)","('time', 11)","('work', 9)","('son', 6)","('yes', 23)","('walk', 11)","('weight', 11)","('son', 10)","('work', 13)","('sports', 11)","('work', 13)","('time', 14)","('space', 12)","('toys', 15)","('staff', 24)","('time', 8)","('yard errands', 74)"
